,titles,authors,dates
92,"[To Be Revised]Perhaps the Meaning of Life, An Adventure in Pluralistic Morality",NoBadCake,7d
93,Leveraging Legal Informatics to Align AI,John Nay,7d
94,The Inter-Agent Facet of AI AlignmentΩ,Michael Oesterle,7d
95,Summaries: Alignment Fundamentals CurriculumΩ,Leon Lang,7d
96,Inner alignment: what are we pointing at?Ω,lcmgcd,7d
97,"Podcasts on surveys, slower AI, AI arguments, etc",KatjaGrace,7d
98,There is no royal road to alignment,Eleni Angelou,8d
99,Biden should be applauded for appointing Renee Wegrzyn for ARPA-H,ChristianKl,7d
100,Updates on FLI's Value Aligment Map?Q,rodeo_flagellum,8d
101,Sparse trinary weighted RNNs as a path to better language model interpretability,Am8ryllis,8d
102,Refine's Third Blog Post Day/WeekΩ,adamShimi,8d
103,Many therapy schools work with inner multiplicity (not just IFS),"David Althaus, Ewelina Tur",8d
104,"Should AI learn human values, human norms or something else?",Q Home,8d
105,Takeaways from our robust injury classifier project [Redwood Research]Ω,DMZ,9d
106,Emergency Residential Solar Jury-Rigging,jefftk,9d
107,A Bite Sized Introduction to ELK,Luk27182,9d
108,D&D.Sci September 2022: The Allocation Helm,abstractapplic,9d
109,Most sensible abstraction & feature set for a systems language?,Jasen Qin,8d
110,Apply for mentorship in AI Safety field-building,Akash,8d
111,Prize and fast track to alignment research at ALTERΩ,Vanessa Kosoy,8d
112,Remote Login For Turnkey Devices?,jefftk,8d
113,Why doesn't China (or didn't anyone) encourage/mandate elastomeric respirators to control COVID?Q,Wei_Dai,9d
114,Towards a philosophy of safety,jasoncrawford,9d
115,Refine Blogpost Day #3: The shortforms I did writeΩ,Self-Embedded Agent,9d
116,"Why are we sure that AI will ""want"" something?Q",shminux,9d
117,"Katja Grace on Slowing Down AI, AI Expert Surveys And Estimating AI Risk",Michaël Trazzi,9d
118,Levels of goals and alignmentΩ,zeshen,9d
119,ordering capability thresholdsΩ,carado,9d
120,Representational Tethers: Tying AI Latents To Human OnesΩ,Paul Bricman,9d
121,Guidelines for Mad Entrepreneurs,David Udell,9d
122,I wrote a fantasy novel to promote EA: More Chapters,Timothy Underwood,9d
123,Affordable Housing Investment Fund,jefftk,10d
124,A market is a neural network,David Hugh-Jones,10d
125,Understanding Conjecture: Notes from Connor Leahy interview,Akash,10d
126,How should DeepMind's Chinchilla revise our AI forecasts?,strawberry calm,10d
127,Are Human Brains Universal?Q,DragonGod,10d
128,Intelligence failures and a theory of change for forecasting,NathanBarnard,10d
129,AGI safety researchers should focus (only/mostly) on deceptive alignmentΩ,Marius Hobbhahn,10d
130,Logical counterfactuals are brittle; use conditionals,Sylvester Kollin,10d
131,What's the longest a sentient observer could survive in the Dark Era?Q,"Raemon, Diffractor",10d
132,The Value of Not Being an Imposter,sudo -i,10d
133,Capability and Agency as Cornerstones of AI risk ­— My current model,wilm,10d
134,General advice for transitioning into Theoretical AI Safety,Martín Soto,10d
135,Sequencing Intro II: Adapters,jefftk,11d
136,How do I find tutors for obscure skills/subjects (i.e. fermi estimation tutors)Q,joraine,11d
137,"AstralCodexTen and Rationality 
Meetup Organisers’ Retreat —
Europe, Middle East, and Africa 2023",Sam,10d
138,Rational Animations' Script Writing Contest,Writer,10d
139,Covid 9/15/22: Permanent Normal,Zvi,10d
140,Effective altruism in the garden of ends,Tyler Alterman,11d
141,The problem with the media presentation of “believing in AI”,Roman Leventov,11d
142,Seeing the Schema,vitaliya,11d
143,Responding to 'Beyond Hyperanthropomorphism',ukc10014,11d
144,When is intent alignment sufficient or necessary to reduce AGI conflict? Ω,"JesseClifton, Sammy Martin, antimonyanthony",11d
145,When would AGIs engage in conflict?Ω,"JesseClifton, Sammy Martin, antimonyanthony",11d
146,When does technical work to reduce AGI conflict make a difference?: IntroductionΩ,"JesseClifton, Sammy Martin, antimonyanthony",11d
147,ACT-1: Transformer for Actions,Daniel Kokotajlo,11d
148,Renormalization: Why Bigger is Simpler,tailcalled,11d
149,Guesstimate Algorithm for Medical Research,Elizabeth,11d
150,Precise P(doom) isn't very important for prioritization or strategy,harsimony,11d
151,"Transhumanism, genetic engineering, and the biological basis of intelligence.",fowlertm,11d
152,What would happen if we abolished the FDA tomorrow?,Yair Halberstadt,11d
153,Emily Brontë on: Psychology Required for Serious™ AGI Safety Research,robertzk,11d
154,The Defender’s Advantage of InterpretabilityΩ,Marius Hobbhahn,11d
155,Why Do People Think Humans Are Stupid?Q,"DragonGod, tailcalled",11d
156,Trying to find the underlying structure of computational systemsΩ,Matthias G. Mayer,12d
157,Risk aversion and GPT-3,hatta_afiq,12d
158,Simple proofs of the age of the universe (or other things),Astynax,12d
159,An investigation into when agents may be incentivized to manipulate our beliefs.,Felix Hofstätter,12d
160,Deep Q-Networks Explained,Jay Bailey,12d
161,Ideas of the Gaps,Q Home,12d
162,Which LessWrong content would you like recorded into audio/podcast form?Q,Ruby,13d
163,EA & LW Forums Weekly Summary (5 - 11 Sep 22'),Zoe Williams,13d
164,"New tool for exploring EA Forum, LessWrong and Alignment Forum - Tree of TagsΩ",Filip Sondej,12d
165,How To Actually Succeed,Jordan Arel,13d
166,Time is not the bottleneck (on making progress thinking about difficult things),kman,13d
167,[Linkpost] A survey on over 300 works about interpretability in deep networksΩ,scasper,13d
168,Contemporary Linguistics: A Perspective on Research and Information Sharing,Miniman,13d
169,"Why do People Think Intelligence Will be ""Easy""?Q",DragonGod,13d
170,Alignment via prosocial brain algorithms,Cameron Berg,13d
171,I’ve written a Fantasy Novel to Promote Effective Altruism,Timothy Underwood,13d
172,Ideological Inference Engines: Making Deontology Differentiable*Ω,Paul Bricman,13d
173,Can you force a neural network to keep generalizing?,Q Home,13d
174,Argument against 20% GDP growth from AI within 10 years [Linkpost],aogara,14d
175,AI Safety field-building projects I'd like to see,Akash,14d
176,Freeloading?,jefftk,13d
177,Black Box Investigation Research Hackathon,"Esben Kran, Jonas Hallgren, Apart Research",13d
178,Fermi Paradox: Iron Age Milky Way,Rofel Wodring,14d
179,You Don't Have To Click The Links,Simon Berens,14d
180,The Ultimate Step-by-Step Hiring Playbook,intellectronica,14d
181,"In forecasting, how do accuracy, calibration and reliability relate to each other?Q",amarai,14d
182,Briefly thinking through some analogs of debate,Eli Tyre,14d
183,AI Risk Intro 1: Advanced AI Might Be Very Bad,"TheMcDouglas, LRudL",14d
184,A Pin and a Balloon: Anthropic Fragility Increases Chances of Runaway Global Warming ,avturchin,14d
185,Is there an Ultimate text editor? Q,Johannes C. Mayer,14d
186,Improving Human Evaluation of Factual Accuracy in Language Models,Soren,15d
187,Making a New Table Leaf,jefftk,14d
188,Introducing School of Thinking,Luca Parodi,14d
189,Unbounded utility functions and precommitment,MichaelStJules,15d
190,"What is the ""Less Wrong"" approved acronym for 1984-risk?Q","Logan Zoellner, Yoav Ravid",15d
191,Find out how utilitarian you are - a mega thread of philosophy polls,spencerg,15d
192,Quintin's alignment papers roundup - week 1Ω,Quintin Pope,15d
193,Path dependence in ML inductive biasesΩ,"Vivek Hebbar, evhub",16d
194,Keeping Time in Epoch Seconds,G Gordon Worley III,16d
195,"Pascal: The Greatness and Littleness of Man, A Thinking Reed",NoBadCake,15d
196,[Job] Project Manager: Community Health (CEA),Xodarap,15d
197,Put Dirty Dishes in the Dishwasher,jefftk,15d
198,Join ASAP! (AI Safety Accountability Programme) 🚀,TheMcDouglas,15d
199,Ought will host a factored cognition “Lab Meeting”Ω,"jungofthewon, stuhlmueller",16d
200,Web4/Heaven - The Simulation,Dunning K.,16d
201,Swap and Scale,Stephen Fowler,16d
202,AlexaTM - 20 Billion Parameter Model With Impressive Performance,ViktorThink,16d
203,Gatekeeper Victory: AI Box Reflection,"Double, DaemonicSigil",16d
204,AI alignment with humans... but with which humans?,geoffreymiller,16d
205,Notes on Resolve,David Gross,16d
206,ethics and anthropics of homomorphically encrypted computations,carado,16d
207,Oversight Leagues: The Training Game as a FeatureΩ,Paul Bricman,16d
208,Understanding and avoiding value driftΩ,TurnTrout,17d
209,Samotsvety's AI risk forecasts,elifland,17d
210,Evaluations project @ ARC is hiring a researcher and a webdev/engineerΩ,Beth Barnes,16d
211,My emotional reaction to the current funding situation,Sam,16d
212,[Fun][Link] Alignment SMBC Comic,Gunnar_Zarncke,16d
213,Interpreting Affordable Housing,jefftk,16d
214,London Rationalish Meetup 2022-09-11,calmiguana,16d
215,Should you refrain from having children because of the risk posed by artificial intelligence?Q,Mientras,16d
216,[An email with a bunch of links I sent an experienced ML researcher interested in learning about Alignment / x-safety.]Ω,David Scott Krueger (formerly: capybaralet),17d
217,"Progress links & tweets, 2022-09-08",jasoncrawford,17d
218,Turning WhatsApp Chat Data into Prompt-Response Form for Fine-Tuning,hatta_afiq,17d
219,Thoughts on AGI consciousness / sentience,Steven Byrnes,17d
220,A rough idea for solving ELK: An approach for training generalist agents like GATO to make plans and describe them to humans clearly and honestly.,Michael Soareverix,17d
221,"What Should AI Owe To Us?
Accountable and Aligned AI Systems via Contractualist AI AlignmentΩ",xuan,17d
222,Solar Blackout Resistance,jefftk,17d
223,All AGI safety questions welcome (especially basic ones) [~monthly thread],plex,17d
224,Sequences/Eliezer essays beyond those in AI to Zombies?Q,Domenic,17d
225,Linkpost: Github Copilot productivity experimentΩ,Daniel Kokotajlo,18d
226,Searching for Modularity in Large Language Models,"NickyP, Stephen Fowler",18d
227,90% of anything should be bad (& the precision-recall tradeoff),cartografie,18d
228,How to Do Research. v1,Pablo Repetto,18d
229,Postmortem: Trying out for Manifold Markets,"Milli, Austin Chen",17d
230,Covid 9/8/22: Booster Boosting,Zvi,17d
231,OpenPrinciples Bootcamp (Free) -- Reflect & Act on your Rationality Principles.,ti_guo,18d
232,"In a lack of data, how should you weigh credences in theoretical physics's Theories of Everything, or TOEs?Q",Noosphere89,18d
233,Generators Of Disagreement With AI Alignment,George3d6,18d
234,Shrödinger’s lottery or: Why you are going to live forever,Chase Dowdell,18d
235,Is training data going to be diluted by AI-generated content?,Hannes Thurnherr,18d
236,It's (not) how you use it ,Eleni Angelou,18d
237,First we shape our social graph; then it shapes us,Henrik Karlsson,18d
238,AI-assisted list of ten concrete alignment things to do right nowΩ,lcmgcd,18d
239,"Can ""Reward Economics"" solve AI Alignment?",Q Home,18d
240,Is there a list of projects to get started with Interpretability?,Franziska Fischer,19d
241,Progress Report 7: making GPT go hurrdurr instead of brrrrrrr,Nathan Helm-Burger,19d
242,Framing AI ChildhoodsΩ,David Udell,19d
243,Galaxy Trucker Needs a New Second Half,jefftk,18d
244,Rejected Early Drafts of Newcomb's Problem,zahmahkibo,19d
245,How can we secure more research positions at our universities for x-risk researchers?Q,Neil Crawford,19d
246,Community Building for Graduate Students: A Targeted Approach,Neil Crawford,19d
247,How Josiah became an AI safety researcher,Neil Crawford,19d
248,"No, human brains are not (much) more efficient than computers",jhoogland,19d
249,On oxytocin-sensitive neurons in auditory cortex,Steven Byrnes,19d
250,EA & LW Forums Weekly Summary (28 Aug - 3 Sep 22’),Zoe Williams,19d
251,Alex Lawsen On Forecasting AI Progress,Michaël Trazzi,19d
252,What are you for?,lsusr,20d
253,The Power (and limits?) of Chunking,NicholasKross,20d
254,Deleted comments archive,Said Achmiz,19d
255,Guitar Pedals on Fiddle,jefftk,19d
256,Another Unphrased B-part,jefftk,20d
257,[Exploratory] Becoming more Agentic,Johannes C. Mayer,20d
258,AI Governance Needs Technical Work,Mauricio,20d
259,program searches,carado,20d
260,Overton Gymnastics: An Exercise in Discomfort,"Shos Tekofsky, omark",20d
261,Beta Readers are Great,HoldenKarnofsky,20d
262,Impact Shares For Speculative Projects,Elizabeth,20d
263,"An unofficial ""Highlights from the Sequences"" tier list",Akash,20d
264,(Link) I'm Missing a Chunk of My Brain,mukashi,21d
265,The Good King,GregorDeVillain,20d
266,A Game About AI Alignment (& Meta-Ethics): What Are the Must Haves?,JonathanErhardt,20d
267,[Exploratory] What does it mean that an experiment is high bit?,Johannes C. Mayer,21d
268,"EA, Veganism and Negative Animal Utilitarianism",Yair Halberstadt,21d
269,The ethics of reclining airplane seats,braces,21d
270,Turn your flashcards into Art,Heye Groß,21d
271,Let's Terraform West Texas,blackstampede,21d
272,Help me find a good Hackathon subject Q,Raphaël S,21d
273,The shard theory of human valuesΩ,"Quintin Pope, TurnTrout",22d
274,Breaking Newcomb's Problem with Non-Halting states,Slimepriestess,22d
275,Monthly Shorts 8/22,Celer,22d
276,How To Know What the AI Knows - An ELK Distillation,Fabien,22d
277,Private alignment research sharing and coordination,porby,22d
278,AXRP Episode 18 - Concept Extrapolation with Stuart ArmstrongΩ,DanielFilan,22d
279,What's your Mission?,GregorDeVillain,21d
280,Russian Food for Petrov Day,weft,21d
281,Prototyping in C,jefftk,21d
282,Bay Solstice 2022 Call For Volunteers,Scott Alexander,21d
283,Fully Live Electronic Contra,jefftk,22d
284,An Update on Academia vs. Industry (one year into my faculty job)Ω,David Scott Krueger (formerly: capybaralet),22d
285,Request for Alignment Research Project RecommendationsQ,Rauno Arike,22d
286,Three scenarios of pseudo-alignment ,Eleni Angelou,22d
287,Bugs or Features?,qbolec,22d
288,[Exploratory] Seperate exploratory writing from public writing,Johannes C. Mayer,23d
289,We may be able to see sharp left turns comingΩ,"Ethan Perez, Neel Nanda",23d
290,Can someone explain to me why most researchers think alignment is probably something that is humanly tractable?Q,"iamthouthouarti, Quintin Pope",23d
291,Behaviour Manifolds and the Hessian of the Total Loss - Notes and CriticismΩ,Spencer Becker-Kahn,23d
292,[Exploratory] Exploratory Writing Info,Johannes C. Mayer,23d
293,Sticky goals: a concrete experiment for understanding deceptive alignmentΩ,evhub,23d
294,"Agency engineering: is AI-alignment ""to human intent"" enough?",catubc,23d
295,Laziness in AI,Richard Henage,23d
296,SimulatorsΩ,janus,21d
297,Levelling Up in AI Safety Research Engineering,Gabriel Mukobi,23d
298,Appendix: How to run a successful Hamming circle,CFAR!Duncan,24d
299,Replacement for PONR conceptΩ,Daniel Kokotajlo,24d
300,AI coordination needs clear winsΩ,evhub,24d
301,Exporting Hangouts History,jefftk,23d
302,Stop Discouraging Microwave Formula Preparation,jefftk,24d
303,A Richly Interactive AGI Alignment Chart,lisperati,24d
304,Short story speculating on possible ramifications of AI on the art world,Yitz,24d
305,Why was progress so slow in the past?,jasoncrawford,24d
306,"AI Safety and Neighboring Communities: A Quick-Start Guide, as of Summer 2022Ω",Sam Bowman,24d
307,Gradient Hacker Design Principles From BiologyΩ,johnswentworth,24d
308,Book review: Put Your Ass Where Your Heart Wants to Be,Ruhul,24d
309,A Survey of Foundational Methods in Inverse Reinforcement Learning,adamk,24d
310,I Tripped and Became GPT! (And How This Updated My Timelines),Frankophone,24d
311,"Alignment is hard. Communicating that, might be harder ",Eleni Angelou,24d
312,A Starter-kit for Rationality Space,jhoogland,24d
313,Pondering the paucity of volcanic profanity post Pompeii perusal,CraigMichael,24d
314,"Infra-Exercises, Part 1Ω","Diffractor, Jack Parker, Connall Garrod",24d
315,Strategy For Conditioning Generative ModelsΩ,"james.lucassen, evhub",25d
316,Safety Committee Resources,jefftk,25d
317,"Fixed point theory (locally (α,β,ψ) dominated contractive condition)Q",muzammil,24d
318,Covid 9/1/22: Meet the New Booster,Zvi,24d
319,"Progress links and tweets, 2022-08-31",jasoncrawford,25d
320,Enantiodromia,ChristianKl,25d
321,"New 80,000 Hours problem profile on existential risks from AI",Benjamin Hilton,25d
322,How much impact can any one man have?,GregorDeVillain,25d
323,How might we make better use of AI capabilities research for alignment purposes?Q,ghostwheel,1mo
324,AI Box Experiment: Are people still interested?Q,"Double, Nathan Helm-Burger",1mo
325,Survey of NLP Researchers: NLP is contributing to AGI progress; major catastrophe plausibleΩ,Sam Bowman,1mo
326,"Supposing Europe is headed for a serious energy crisis this winter, what can/should one do as an individual to prepare?Q",Erich_Grunewald,25d
327,Grand Theft Education,Zvi,25d
328,ProjectLawful.com gives you policy experience,Trevor1,1mo
329,Worlds Where Iterative Design FailsΩ,johnswentworth,1mo
330,Inner Alignment via Superpowers,"JamesH, Thomas Larsen, Jeremy Gillen",1mo
331,ML Model Attribution Challenge [Linkpost],aogara,1mo
332,How likely is deceptive alignment?Ω,evhub,1mo
333,A bayesian updating on expert opinionsQ,amarai,1mo
334,Any Utilitarianism Makes Sense As Policy ,George3d6,1mo
335,"A gentle primer on caring, including in strange senses, with applications",kh,1mo
336,Modified Guess Culture,konstell,1mo
337,What is the best critique of AI existential risk arguments?Q,Josh,1mo
338,How to plan for a radically uncertain future?,Kerry,1mo
339,EA & LW Forums Weekly Summary (21 Aug - 27 Aug 22'),Zoe Williams,1mo
340,Can We Align a Self-Improving AGI?,Peter S. Park,1mo
341,Built-In Bundling For Faster Loading,jefftk,1mo
342,On the nature of help - a framework for helping,Faustify,1mo
343,Fundamental Uncertainty: Chapter 4 - Why don't we do what we think we should?,G Gordon Worley III,1mo
344,How can I reconcile the two most likely requirements for humanities near-term survival.Q,Erlja Jkdf.,1mo
345,LessWrong's prediction on apocalypse due to AGI (Aug 2022),LetUsTalk,1mo
346,Are Generative World Models a Mesa-Optimization Risk?,Thane Ruthenis,1mo
347,Sequencing Intro,jefftk,1mo
348,How Do AI Timelines Affect Existential Risk?,Stephen McAleese,1mo
349,How might we align transformative AI if it’s developed very soon?Ω,HoldenKarnofsky,1mo
350,Please Do Fight the Hypothetical,Conor Sullivan,1mo
351,Have you considered getting rid of death?,Willa,1mo
352,(My understanding of) What Everyone in Technical Alignment is Doing and WhyΩ,"Thomas Larsen, elifland",12d
353,*New* Canada AI Safety & Governance communityΩ,Wyatt Tessari L'Allié,1mo
354,An Audio Introduction to Nick Bostrom,PeterH,1mo
355,The AGI has to actually 'care' about humans,Josh,1mo
356,Breaking down the training/deployment dichotomy,Erik Jenner,1mo
357,More Clothes Over Time?,jefftk,1mo
358,The Expanding Moral Cinematic Universe,Raemon,1mo
359,An Introduction to Current Theories of Consciousness,hohenheim,1mo
360,[Linkpost] Can lab-grown brains become conscious?,Jack R,1mo
361,Robert Long On Why Artificial Sentience Might Matter,Michaël Trazzi,1mo
362,Artificial Moral Advisors: A New Perspective from Moral Psychology,David Gross,1mo
363,Pronunciations,Solenoid_Entity,1mo
364,First thing AI will do when it takes over is get fission going,visiax,1mo
365,Who ordered alignment's apple? ,Eleni Angelou,1mo
366,Sufficiently many Godzillas as an alignment strategy,142857,1mo
367,What would you expect a massive multimodal online federated learner to be capable of?Q,Aryeh Englander,1mo
368,Basin broadness depends on the size and number of orthogonal featuresΩ,"TheMcDouglas, Avery, Lucius Bushnaq",1mo
369,"Solving Alignment by ""solving"" semantics",Q Home,1mo
370,Help Understanding Preferences And Evil,Netcentrica,1mo
371,Is there a benefit in low capability AI Alignment research?,Letti,1mo
372,Contra Dance Contact Tracing,jefftk,1mo
373,Annual AGI Benchmarking EventΩ,Lawrence Phillips,1mo
374,Taking the parameters which seem to matter and rotating them until they don't,Garrett Baker,1mo
375,ACX Meetups Everywhere List,Scott Alexander,1mo
376,What's the Most Impressive Thing That GPT-4 Could Plausibly Do?,bayesed,1mo
377,Is population collapse due to low birth rates a problem?Q,mukashi,1mo
378,Double Crux In A Box,Screwtape,1mo
379,Seeking Student Submissions: Edit Your Source Code Contest,Aris,1mo
380,AI Risk in Terms of Unstable Nuclear Software,Thane Ruthenis,1mo
381,Could you please share a tool to help with reasoning or make better decisions?Q,hodovani,1mo
382,Some conceptual alignment research projectsΩ,Richard_Ngo,24d
383,Variational Bayesian methods,Ege Erdil,1mo
384,A Test for Language Model ConsciousnessΩ,Ethan Perez,1mo
385,AI strategy nearcastingΩ,HoldenKarnofsky,1mo
386,Evaluating OpenAI's alignment plans using training stories,ojorgensen,1mo
387,Common misconceptions about OpenAIΩ,Jacob_Hilton,1mo
388,Your posts should be on arXivΩ,JanBrauner,1mo
389,The Solomonoff prior is malign. It's not a big deal.,Charlie Steiner,1mo
390,[Review] The Problem of Political Authority by Michael Huemer,Arjun Panickssery,1mo
391,The Shard Theory Alignment Scheme,David Udell,1mo
392,Preparing for the apocalypse might help prevent it,Ocracoke,1mo
393,"Event in SF: Foresight Institute meetup, Sep 8",jasoncrawford,1mo
394,Covid 8/25/22: What We Owe,Zvi,1mo
395,What Makes A Good Measurement Device?Ω,johnswentworth,1mo
396,Consciousness Actually Explained: EC Theory,Zahima,1mo
397,Google AI integrates PaLM with robotics: SayCan update [Linkpost]Ω,Evan R. Murphy,1mo
398,Vingean AgencyΩ,abramdemski,1mo
399,OpenAI's Alignment Plans,dkirmani,1mo
400,Beliefs and Disagreements about Automating Alignment ResearchΩ,Ian McKenzie,1mo
401,Interspecies diplomacy as a potentially productive lens on AGI alignmentΩ,Shariq Hashme,1mo
402,The Case Against Digital Sentience: A Summary,lucas11,1mo
403,Why are some problems Super Hard?Q,Gabriel Alfour,1mo
404,Adversarial epistemology,jchan,1mo
405,"Ethan Perez on the Inverse Scaling Prize, Language Feedback and Red TeamingΩ",Michaël Trazzi,1mo
406,Schelling Points in Thing-Space,Richard Henage,1mo
407,Thoughts about OOD alignment,Dmitry Savishchev,1mo
408,It Looks Like You’re Trying To Take Over The Narrative,George3d6,1mo
409,History of Zero-based Months?,jefftk,1mo
410,Lies on the internet,sudo -i,1mo
411,AGI Timelines Are Mostly Not Strategically Relevant To AlignmentΩ,johnswentworth,1mo
412,Why does AGI need a utility function?Q,randomstring,1mo
413,"Progress links and tweets, 2022-08-23",jasoncrawford,1mo
414,AI alignment as “navigating the space of intelligent behaviour”Ω,Nora_Ammann,1mo
415,everything is okay,carado,1mo
416,Nate Soares' Life Advice,CatGoddess,1mo
417,Discussion on utilizing AI for alignment,elifland,1mo
418,Digital Dinner Signup,jefftk,1mo
419,Finding Goals in the World ModelΩ,"Jeremy Gillen, JamesH, Thomas Larsen",1mo
420,Please (re)explain your personal jargon,Nathan Helm-Burger,1mo
