,titles,authors
166,AGI ruin scenarios are likely (and disjunctive),Nate Soares
167,"«Boundaries», Part 1: a key missing concept from utility theory",Andrew Critch
168,Active Inference as a formalisation of instrumental convergence,Roman Leventov
169,NeurIPS ML Safety Workshop 2022,Dan Hendrycks
170,Unifying Bargaining Notions (1/2),Diffractor
171,Reward is not the optimization target,Alex Turner
172,Brainstorm of things that could force an AI team to burn their lead,Nate Soares
173,Robustness to Scaling Down: More Important Than I Thought,Adam Shimi
174,Conditioning Generative Models with Restrictions,Adam Jermyn
175,[AN #173] Recent language model results from DeepMind,Rohin Shah
176,How to Diversify Conceptual Alignment: the Model Behind Refine,Adam Shimi
177,Abram Demski's ELK thoughts and proposal - distillation,Rubi J. Hudson
178,Bounded complexity of solving ELK and its implications,Rubi J. Hudson
179,Help ARC evaluate capabilities of current language models (still need people),Beth Barnes
180,"Without specific countermeasures, the easiest path to transformative AI likely leads to AI takeover",Ajeya Cotra
181,Quantilizers and Generative Models,Adam Jermyn
182,Conditioning Generative Models for Alignment,Arun Jose
183,Training goals for large language models,Johannes Treutlein
184,A distillation of Evan Hubinger's training stories (for SERI MATS),Daphne_W
185,Forecasting ML Benchmarks in 2023,Jacob Steinhardt
186,Deception?! I ain’t got time for that!,Paul Colognese
187,How Interpretability can be Impactful,Connall Garrod
188,Why you might expect homogeneous take-off: evidence from ML research,Andrei Alexandru
189,Examples of AI Increasing AI Progress,ThomasW
190,Safety Implications of LeCun's path to machine intelligence,Ivan Vendrov
191,Notes on Learning the Prior,Spencer Becker-Kahn
192,A note about differential technological development,Nate Soares
193,Circumventing interpretability: How to defeat mind-readers,Lee Sharkey
194,Humans provide an untapped wealth of evidence about alignment,"Alex Turner, Quintin Pope"
195,Deep learning curriculum for large language model alignment,Jacob Hilton
196,Artificial Sandwiching: When can we test scalable alignment protocols without humans?,Sam Bowman
197,Which AI Safety research agendas are the most promising?Q,Chris_Leong
198,Acceptability Verification: A Research Agenda,"David Udell, Evan Hubinger"
199,"Response to Blake Richards: AGI, generality, alignment, & loss functions",Steve Byrnes
200,Mosaic and Palimpsests: Two Shapes of Research,Adam Shimi
201,On how various plans miss the hard bits of the alignment challenge,Nate Soares
202,Hessian and Basin volume,Vivek Hebbar
203,Grouped Loss may disfavor discontinuous capabilities,Adam Jermyn
204,Train first VS prune first in neural networks.,Donald Hobson
205,"Visualizing Neural networks, how to blame the bias",Donald Hobson
206,"Making it harder for an AGI to ""trick"" us, with STVs",Tor Økland Barstad
207,Safety considerations for online generative modeling,Sam Marks
208,Human values & biases are inaccessible to the genome,Alex Turner
209,Race Along Rashomon Ridge,"Stephen Fowler, Peter S. Park, MichaelEinhorn"
210,Principles for Alignment/Agency Projects,johnswentworth
211,Outer vs inner misalignment: three framings,Richard Ngo
212,Introducing the Fund for Alignment Research (We're Hiring!),"AdamGleave, Scott Emmons, Ethan Perez, Claudia Shi"
213,[AN #172] Sorry for the long hiatus!,Rohin Shah
214,Benchmark for successful concept extrapolation/avoiding goal misgeneralization,Stuart Armstrong
215,Remaking EfficientZero (as best I can),Hoagy
216,[Linkpost] Existential Risk Analysis in Empirical Research Papers,Dan Hendrycks
217,AXRP Episode 16 - Preparing for Debate AI with Geoffrey Irving,DanielFilan
218,Trends in GPU price-performance,"Marius Hobbhahn, Tamay Besiroglu"
219,What Is The True Name of Modularity?,"TheMcDouglas, Lucius Bushnaq, Avery"
220,Safetywashing,Adam Scholl
221,Formal Philosophy and Alignment Possible Projects,Daniel Herrmann
222,Gradient hacking: definitions and examples,Richard Ngo
223,Latent Adversarial Training,Adam Jermyn
224,Will Capabilities Generalise More?,Ramana Kumar
225,What success looks like,"Marius Hobbhahn, MaxRa, JasperGeh, Yannick_Muehlhaeuser"
226,Some alternative AI safety research projects,Michele Campolo
227,Exploring Mild Behaviour in Embedded Agents,Megan Kinniment
228,Deliberation Everywhere: Simple Examples,Oliver Sourbut
229,"Deliberation, Reactions, and Control: Tentative Definitions and a Restatement of Instrumental Convergence",Oliver Sourbut
230,Announcing the Inverse Scaling Prize ($250k Prize Pool),"Ethan Perez, Ian McKenzie, Sam Bowman"
231,Announcing Epoch: A research organization investigating the road to Transformative AI,"Jaime Sevilla, Pablo Villalobos, Tamay Besiroglu, Lennart Heim, Marius Hobbhahn, Anson Ho"
232,Training Trace Priors and Speed Priors,Adam Jermyn
233,Conditioning Generative Models,Adam Jermyn
234,AI-Written Critiques Help Humans Notice Flaws,Paul Christiano
235,Updated Deference is not a strong argument against the utility uncertainty approach to alignment,Ivan Vendrov
236,Reflection Mechanisms as an Alignment target: A survey,"Marius Hobbhahn, elandgre, Beth Barnes"
237,Getting from an unaligned AGI to an aligned AGI? ,Tor Økland Barstad
238,A Toy Model of Gradient Hacking,Oam Patel
239,On corrigibility and its basin,Donald Hobson
240,Causal confusion as an argument against the scaling hypothesis,"Robert Kirk, David Scott Krueger"
241,Let's See You Write That Corrigibility Tag,Eliezer Yudkowsky
242,Where I agree and disagree with Eliezer,Paul Christiano
243,Agent level parallelism,Johannes C. Mayer
244,Do yourself a FAVAR: security mindset,Luke H Miles
245,Pivotal outcomes and pivotal processes,Andrew Critch
246,Quantifying General Intelligence,JasonBrown
247,Value extrapolation vs Wireheading,Stuart Armstrong
248,wrapper-minds are the enemy,nostalgebraist
249,A transparency and interpretability tech tree,Evan Hubinger
250,Humans are very reliable agents,Alyssa Vance
251,Breaking Down Goal-Directed Behaviour,Oliver Sourbut
252,"Ten experiments in modularity, which we'd like you to run!","TheMcDouglas, Lucius Bushnaq, Avery"
253,"A central AI alignment problem: capabilities generalization, and the sharp left turn",Nate Soares
254,Investigating causal understanding in LLMs,"Marius Hobbhahn, Tom Lieberum"
255,Continuity Assumptions,Jan_Kulveit
256,Training Trace Priors,Adam Jermyn
257,ELK Proposal - Make the Reporter care about the Predictor’s beliefs,"Adam Jermyn, Nicholas Schiefer"
258,Godzilla Strategies,johnswentworth
259,Open Problems in AI X-Risk [PAIS #5],"Dan Hendrycks, ThomasW"
260,why assume AGIs will optimize for fixed goals?Q,"nostalgebraist, Rob Bensinger"
261,You Only Get One Shot: an Intuition Pump for Embedded Agency,Oliver Sourbut
262,How Do Selection Theorems Relate To Interpretability?,johnswentworth
263,Eliciting Latent Knowledge (ELK) - Distillation/Summary,Marius Hobbhahn
264,Who models the models that model models? An exploration of GPT-3's in-context model fitting ability,Lovre
265,"A descriptive, not prescriptive, overview of current AI Alignment Research","Jan Hendrik Kirchner, Logan Riggs Smith, Jacques Thibodeau, janus"
266,Grokking “Forecasting TAI with biological anchors”,Anson Ho
267,Reading the ethicists 2: Hunting for AI alignment papers,Charlie Steiner
268,Some ideas for follow-up projects to Redwood Research’s recent paper,JanBrauner
269,Why agents are powerful,Daniel Kokotajlo
270,Epistemological Vigilance for Alignment,Adam Shimi
271,AGI Ruin: A List of Lethalities,Eliezer Yudkowsky
272,Deep Learning Systems Are Not Less Interpretable Than Logic/Probability/Etc,johnswentworth
273,Announcing the Alignment of Complex Systems Research Group,"Jan_Kulveit, technicalities"
274,"[MLSN #4]: Many New Interpretability Papers, Virtual Logit Matching, Rationalization Helps Robustness",Dan Hendrycks
275,"Adversarial training, importance sampling, and anti-adversarial training for AI whistleblowing",Buck Shlegeris
276,The prototypical catastrophic AI action is getting root access to its datacenter,Buck Shlegeris
277,"Confused why a ""capabilities research is good for alignment progress"" position isn't discussed more",Kaj Sotala
278,Paradigms of AI alignment: components and enablers,Victoria Krakovna
279,Paper: Teaching GPT3 to express uncertainty in words,Owain Evans
280,Perform Tractable Research While Avoiding Capabilities Externalities [Pragmatic AI Safety #4],"Dan Hendrycks, ThomasW"
281,Six Dimensions of Operational Adequacy in AGI Projects,Eliezer Yudkowsky
282,Reshaping the AI Industry,Thane Ruthenis
283,The Problem With The Current State of AGI Definitions,Yitzi Litt
284,Distributed Decisions,johnswentworth
285,"The ""Measuring Stick of Utility"" Problem",johnswentworth
286,RL with KL penalties is better seen as Bayesian inference,"Tomek Korbak, Ethan Perez"
287,autonomy: the missing AGI ingredient?,nostalgebraist
288,The No Free Lunch theorems and their Razor,Adrià Garriga-Alonso
289,Complex Systems for AI Safety [Pragmatic AI Safety #3],"Dan Hendrycks, ThomasW"
290,Bits of Optimization Can Only Be Lost Over A Distance,johnswentworth
291,AXRP Episode 15 - Natural Abstractions with John Wentworth,DanielFilan
292,Gradations of Agency,Daniel Kokotajlo
293,Adversarial attacks and optimal control,Jan Hendrik Kirchner
294,[Short version] Information Loss --> Basin flatness,Vivek Hebbar
295,Information Loss --> Basin flatness,Vivek Hebbar
296,How RL Agents Behave When Their Actions Are Modified? [Distillation post],Pablo Antonio Moreno Casares
297,We have achieved Noob Gains in AI,Aniruddha Nrusimha
298,Maxent and Abstractions: Current Best Arguments,johnswentworth
299,How to get into AI safety research,Stuart Armstrong
300,Gato's Generalisation: Predictions and Experiments I'd Like to See,Oliver Sourbut
301,Actionable-guidance and roadmap recommendations for the NIST AI Risk Management Framework,"Dan Hendrycks, Tony Barrett"
302,"[Intro to brain-like-AGI safety] 15. Conclusion: Open problems, how to help, AMA",Steve Byrnes
303,Proxy misspecification and the capabilities vs. value learning race,Sam Marks
304,Optimization at a Distance,johnswentworth
305,Clarifying the confusion around inner alignment,Rauno Arike
306,Frame for Take-Off Speeds to inform compute governance & scaling alignment,Logan Riggs Smith
307,Alignment as Constraints,Logan Riggs Smith
308,Against Time in Agent Models,johnswentworth
309,Agency As a Natural Abstraction,Thane Ruthenis
310,An observation about Hubinger et al.'s framework for learned optimization,Spencer Becker-Kahn
311,DeepMind is hiring for the Scalable Alignment and Alignment Teams,"Rohin Shah, Geoffrey Irving"
312,Interpretability’s Alignment-Solving Potential: Analysis of 7 Scenarios,Evan R. Murphy
313,Introduction to the sequence: Interpretability Research for the Most Important Century,Evan R. Murphy
314,Deepmind's Gato: Generalist Agent,Daniel Kokotajlo
315, [Intro to brain-like-AGI safety] 14. Controlled AGI,Steve Byrnes
316,The limits of AI safety via debate,Marius Hobbhahn
317,Conditions for mathematical equivalence of Stochastic Gradient Descent and Natural Selection,Oliver Sourbut
318,A Bird's Eye View of the ML Field [Pragmatic AI Safety #2],"Dan Hendrycks, ThomasW"
319,Introduction to Pragmatic AI Safety [Pragmatic AI Safety #1],"Dan Hendrycks, ThomasW"
320,Jobs: Help scale up LM alignment research at NYU,Sam Bowman
321,Updating Utility Functions,"JustinShovelain, Joar Skalse"
322,Elementary Infra-Bayesianism,Jan Hendrik Kirchner
323,The case for becoming a black-box investigator of language models,Buck Shlegeris
324,Open Problems in Negative Side Effect Minimization,"Fabian Schimpf, Lukas Fluri"
325,Apply to the second iteration of the ML for Alignment Bootcamp (MLAB 2) in Berkeley [Aug 15 - Fri Sept 2],Buck Shlegeris
326,High-stakes alignment via adversarial training [Redwood Research report],"DMZ, Lawrence Chan, Nate Thomas"
327,Introducing the ML Safety Scholars Program,"Dan Hendrycks, ThomasW, Mantas Mazeika, Oliver Zhang, Sidney Hough, Kevin Liu"
328,Learning the smooth prior,"Geoffrey Irving, Rohin Shah, Evan Hubinger"
329,Prize for Alignment Research Tasks,"Andreas Stuhlmüller, William Saunders"
330,The Speed + Simplicity Prior is probably anti-deceptive,Yonadav Shavit
331,Law-Following AI 3: Lawless AI Agents Undermine Stabilizing Agreements,Cullen_OKeefe
332,Law-Following AI 2: Intent Alignment + Superintelligence → Lawless AI (By Default),Cullen_OKeefe
333,Law-Following AI 1: Sequence Introduction and Structure,Cullen_OKeefe
334,[Intro to brain-like-AGI safety] 13. Symbol grounding & human social instincts,Steve Byrnes
335,SERI ML Alignment Theory Scholars Program 2022,"Ryan Kidd, Victor Warlop, Oliver Zhang"
336,Why Copilot Accelerates Timelines,Michaël Trazzi
337,[$20K in Prizes] AI Safety Arguments Competition,"Dan Hendrycks, Kevin Liu, Oliver Zhang, ThomasW, Sidney Hough"
338,Framings of Deceptive Alignment,Peter Barnett
339,[Request for Distillation] Coherence of Distributed Decisions  With Different Inputs Implies Conditioning,johnswentworth
340,Intuitions about solving hard problems,Richard Ngo
341,[ASoT] Consequentialist models as a superset of mesaoptimizers,leogao
342,Infra-Topology,Diffractor
343,Infra-Miscellanea,Diffractor
344,"For every choice of AGI difficulty, conditioning on gradual take-off implies shorter timelines.",Francis Rhys Ward
345,[Intro to brain-like-AGI safety] 12. Two paths forward: “Controlled AGI” and “Social-instinct AGI”,Steve Byrnes
346,GPT-3 and concept extrapolation,Stuart Armstrong
347,“Pivotal Act” Intentions: Negative Consequences and Fallacious Arguments,Andrew Critch
348,Concept extrapolation: key posts,Stuart Armstrong
349,Everything I Need To Know About Takeoff Speeds I Learned From Air Conditioner Ratings On Amazon,johnswentworth
350,Some reasons why a predictor wants to be a consequentialist,Lauro Langosco
351,Refine: An Incubator for Conceptual Alignment Research Bets,Adam Shimi
352,Early 2022 Paper Round-up,Jacob Steinhardt
353,Takeoff speeds have a huge effect on what it means to work on AI x-risk,Buck Shlegeris
354,What to include in a guest lecture on existential risks from AI?Q,Aryeh Englander
355,Another list of theories of impact for interpretability,Beth Barnes
356,"What's a good probability distribution family (e.g. ""log-normal"") to use for AGI timelines?Q",David Scott Krueger
357,A Small Negative Result on Debate,Sam Bowman
358,A broad basin of attraction around human values?,Wei Dai
359,Elicit: Language Models as Research Assistants,"Andreas Stuhlmüller, jungofthewon"
360,"AMA Conjecture, A New Alignment Startup",Adam Shimi
361,Language Model Tools for Alignment Research,Logan Riggs Smith
362,"AIs should learn human preferences, not biases",Stuart Armstrong
363,"We Are Conjecture, A New Alignment Research Startup",Connor Leahy
364,Different perspectives on concept extrapolation,Stuart Armstrong
365,"Productive Mistakes, Not Perfect Answers",Adam Shimi
366,[ASoT] Some thoughts about imperfect world modeling,leogao
367,How  BoMAI Might fail,Donald Hobson
368,"Truthfulness, standards and credibility",Joe_Collman
369,[Link] A minimal viable product for alignment,Jan Leike
370,[Link] Why I’m excited about AI-assisted human feedback,Jan Leike
371,[Intro to brain-like-AGI safety] 11. Safety ≠ alignment (but they’re close!),Steve Byrnes
372,"PaLM in ""Extrapolating GPT-N performance""",Lukas Finnveden
373,Testing PaLM prompts on GPT3,Yitzi Litt
374,AXRP Episode 14 - Infra-Bayesian Physicalism with Vanessa Kosoy,DanielFilan
375,"Supervise Process, not Outcomes","Andreas Stuhlmüller, jungofthewon"
376,Call For Distillers,johnswentworth
377,Project Intro: Selection Theorems for Modularity,"TheMcDouglas, Avery, Lucius Bushnaq"
378,Theories of Modularity in the Biological Literature,"TheMcDouglas, Avery, Lucius Bushnaq"
379,On Agent Incentives to Manipulate Human Feedback in Multi-Agent Reward Learning Scenarios,Francis Rhys Ward
380,AI Governance across Slow/Fast Takeoff and Easy/Hard Alignment spectra,David Manheim
381,"Optimality is the tiger, and agents are its teeth",Veedrac
382,New Scaling Laws for Large Language Models,1a3orn
383,[Link] Training Compute-Optimal Large Language Models,nostalgebraist
384,AXRP Episode 13 - First Principles of AGI Safety with Richard Ngo,DanielFilan
385,ELK Computational Complexity: Three Levels of Difficulty,Abram Demski
386,Procedurally evaluating factual accuracy: a request for research,Jacob Hilton
387,[ASoT] Some thoughts about LM monologue limitations and ELK,leogao
388,[Intro to brain-like-AGI safety] 10. The alignment problem,Steve Byrnes
389,Gears-Level Mental Models of Transformer Interpretability,KevinRoWang
390,Towards a better circuit prior: Improving on ELK state-of-the-art,Evan Hubinger
391,Vaniver's ELK Submission,"Matthew ""Vaniver"" Graves"
392,[ASoT] Some thoughts about deceptive mesaoptimization,leogao
393,[ASoT] Searching for consequentialist structure,leogao
394,[ASoT] Some ways ELK could still be solvable in practice,leogao
395,"When people ask for your P(doom), do you give them your inside view or your betting odds?Q",Vivek Hebbar
396,Compute Governance: The Role of Commodity Hardware,Jan Hendrik Kirchner
397,[ASoT] Observations about ELK,leogao
398,Why Agent Foundations? An Overly Abstract Explanation,johnswentworth
399,A survey of tool use and workflows in alignment research,"Logan Riggs Smith, Jan Hendrik Kirchner, janus, Jacques Thibodeau"
400,[Intro to brain-like-AGI safety] 9. Takeaways from neuro 2/2: On AGI motivation,Steve Byrnes
401,Exploring Finite Factored Sets with some toy examples,Thomas Kehrenberg
402,[Intro to brain-like-AGI safety] 8. Takeaways from neuro 1/2: On AGI development,Steve Byrnes
403,Dual use of artificial-intelligence-powered drug discovery,"Matthew ""Vaniver"" Graves"
404,ELK contest submission: route understanding through the human ontology,"Victoria Krakovna, Ramana Kumar, Vikrant Varma"
405,A Longlist of Theories of Impact for Interpretability,Neel Nanda
406,A Rephrasing Of and Footnote To An Embedded Agency Proposal,JoshuaOSHickman
407,ELK Sub - Note-taking in internal rollouts,Hoagy
408,It Looks Like You're Trying To Take Over The World,gwern
409,[Intro to brain-like-AGI safety] 7. From hardcoded drives to foresighted plans: A worked example,Steve Byrnes
410,ELK prize results,"Paul Christiano, Mark Xu"
